,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,total_inflow_cfs,delta_inflow_cfs,total_delta_pumping_cfs,total_delta_pumping_pct,total_reservoir_outflows_cfs,delta_gains_cfs,total_storage
123,652500.0,1235.0,2317.0,1576236.0,478.0,1615.0,487423.0,2150.0,3233.0,588223.0,280.0,661.0,316561.0,705.0,1218.0,1603303.0,130.0,962.0,2210870.0,1495.0,4526.0,3431642.0,3671.0,8960.0,2876.0,3724.0,27827.0,69.06,156603.0,36212.0,6532.0,0.1887234437331849,11058.0,19875.0,10800571.0
124,658331.0,1214.0,2489.0,1577303.0,968.0,1271.0,487890.0,2221.0,3021.0,588085.0,260.0,693.0,316229.0,627.0,1222.0,1605631.0,304.0,944.0,2216891.0,1469.0,4982.0,3461705.0,3680.0,9307.0,2626.0,3432.0,21910.0,69.83,145647.0,31035.0,6204.0,0.19597383475343358,11413.0,16587.0,10820009.0
125,657940.0,1249.0,2331.0,1578372.0,619.0,1387.0,487190.0,2180.0,3293.0,588317.0,275.0,649.0,316192.0,685.0,1251.0,1608443.0,284.0,1004.0,2221786.0,1420.0,4897.0,3463451.0,3697.0,9985.0,3188.0,3211.0,23710.0,70.59,142921.0,29417.0,6251.0,0.19884783472387763,11202.0,12071.0,10839494.0
126,656783.0,1354.0,2115.0,1580510.0,444.0,1380.0,486568.0,2070.0,3609.0,588735.0,284.0,566.0,315750.0,712.0,1346.0,1610480.0,251.0,1040.0,2224292.0,1384.0,4521.0,3462205.0,3772.0,8454.0,3331.0,3326.0,23997.0,70.26,140626.0,30221.0,6432.0,0.2137923706301137,11774.0,11900.0,10834121.0
127,654026.0,1357.0,2304.0,1581579.0,451.0,1235.0,485790.0,2470.0,3057.0,588829.0,280.0,653.0,317518.0,790.0,1300.0,1613391.0,428.0,958.0,2232282.0,1696.0,5339.0,3448522.0,3627.0,8278.0,3042.0,3391.0,23997.0,71.3,140324.0,33304.0,6491.0,0.2134676564156946,11768.0,9477.0,10839752.0
128,652128.0,1352.0,2650.0,1583721.0,472.0,1272.0,485167.0,2379.0,3441.0,588735.0,301.0,646.0,318883.0,833.0,1217.0,1616506.0,450.0,937.0,2245221.0,1488.0,4777.0,3435357.0,3683.0,8068.0,3176.0,3430.0,23997.0,70.44,137444.0,28936.0,6833.0,0.2040558364475709,12097.0,10970.0,10845802.0
129,651868.0,1219.0,2363.0,1584792.0,578.0,1297.0,492759.0,2372.0,3292.0,588503.0,324.0,610.0,320292.0,866.0,1267.0,1618160.0,267.0,1016.0,2254298.0,1551.0,4904.0,3418294.0,3721.0,8515.0,2981.0,3533.0,22485.0,70.82,132884.0,26347.0,6798.0,0.2008418790022838,11883.0,10807.0,10851187.0
130,653505.0,1207.0,2576.0,1586937.0,1004.0,1571.0,496456.0,2302.0,3168.0,588363.0,314.0,798.0,322109.0,872.0,1259.0,1621081.0,469.0,845.0,2265941.0,1435.0,5311.0,3406689.0,3774.0,9223.0,2979.0,3592.0,19531.0,70.89,125223.0,26328.0,6576.0,0.20951859956236324,11603.0,12920.0,10851142.0
131,655031.0,1358.0,2649.0,1588010.0,958.0,1577.0,500342.0,2436.0,3578.0,588456.0,302.0,849.0,323378.0,860.0,1389.0,1624201.0,154.0,1154.0,2276352.0,1754.0,5134.0,3400048.0,3779.0,8704.0,3159.0,3656.0,18961.0,70.62,138465.0,30147.0,6578.0,0.2029662738724096,11585.0,11779.0,10854771.0
132,655125.0,1609.0,2364.0,1590158.0,1004.0,1770.0,501769.0,2661.0,3914.0,589432.0,320.0,867.0,325209.0,936.0,1412.0,1627132.0,481.0,1125.0,2285981.0,1652.0,4945.0,3393654.0,4138.0,7756.0,3239.0,3610.0,21284.0,70.09,125995.0,28847.0,6652.0,0.2170664056126611,13411.0,11359.0,10857571.0
