,Rel_NOD_%,Rel_SOD_%,Upstream_Flood_Volume_taf,Delta_Peak_Inflow_cfs
1997-10-01,0.4583161876539369,1.0,2551.126823148589,153964.66200908768
1998-10-01,0.6312834346792617,1.0,412.6523409485143,126087.52885367986
1999-10-01,0.6784122617655975,1.0,99.19411612764134,130574.69259745801
2000-10-01,0.7551837260180969,0.8671288768097547,0.0,42645.92019989072
2001-10-01,0.7979220075802237,0.9107034823796138,0.0,50353.89733207092
2002-10-01,0.6242448245332719,1.0,138.39201402319708,54166.69425383744
2003-10-01,0.8400854905205601,1.0,0.0,90194.30207215386
2004-10-01,0.5710801500222417,1.0,1844.0889497301944,121548.71484144773
2005-10-01,0.6285652602525332,1.0,3434.6203988079033,308674.0385307111
2006-10-01,0.7941351584513336,0.9981286991421516,0.0,49242.029110485164
2007-10-01,0.7124076097575359,0.7063140440573915,0.0,38125.44044052272
2008-10-01,0.715300507899619,0.8570059843240493,0.0,65973.86199451835
2009-10-01,0.549649109654101,1.0,473.1612327964634,59482.941735435794
2010-10-01,0.5082216642986956,1.0,2277.7173575074025,119008.34448761557
2011-10-01,0.8376944342771384,1.0,0.7908133647537565,61784.29724822006
2012-10-01,0.746728009172058,0.864466321414892,0.0,72442.49899609374
2013-10-01,0.5350364839712641,0.5052447410302908,0.0,34505.44744930683
2014-10-01,0.45751676561238364,0.4495374303174708,0.0,47213.26527227981
2015-10-01,0.7696130289879293,0.8293945734166761,54.24547451914282,122443.90967132134
2016-10-01,0.5585136051331832,1.0,7506.307320411576,459355.32574578095
2017-10-01,0.8625122248643394,1.0,228.28433723219513,117804.72111209472
2018-10-01,0.6057741220385507,1.0,1610.2284391661103,135820.34669211716
2019-10-01,0.7736279527946184,0.9451076150091213,0.0,40085.861010628476
2020-10-01,0.5362241180790109,0.5199154452152571,0.0,24436.546800648102
